date,AIQ,AMLP,ARKF,ARKG,ARKK,ARKQ,ARKW,ARKX,BIZD,BLOK,BOTZ,CHAT,CIBR,COPX,DRIV,DXYZ,FCG,FDN,FINX,GDX,GRID,GUNR,HACK,HERO,IAI,IBB,IBUY,ICLN,IGF,IGV,IHF,IHI,IPAY,IPO,ITA,ITB,IXN,IYM,IYT,JETS,KBE,KIE,KRE,KWEB,LIT,MEME,METV,MJ,MOAT,MOO,NLR,OIH,ONLN,PAVE,PBJ,PEJ,QCLN,QTEC,QTUM,REET,REM,REMX,ROKT,SHLD,SIL,SKYY,SMH,SNSR,SOCL,SOXX,TAN,UFO,URA,VFH,VGT,VNQ,VNQI,VTI,WGMI,XBI,XHB,XHE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XME,XOP,XPH,XRT,XSD,XT
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,25.017805099487305,,,,7.9122209548950195,,,,,,,7.682600498199463,36.676979064941406,14.877900123596191,,32.19728088378906,12.172107696533203,,,,,,,,,,617.01220703125,,,10.703631401062012,13.20012378692627,,,,,,,,,,,16.100217819213867,,,17.152320861816406,,,,36.75425720214844,5.2202630043029785,25.824443817138672,,43.3028678894043,,,,,9.896210670471191,,14.491594314575195,17.43276023864746,21.403200149536133,8.211325645446777,13.659247398376465,,7.90233850479126,22.59705924987793,12.791306495666504,,,,,,
2006-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,25.28904151916504,,,,8.017021179199219,,,,,,,7.743069648742676,36.94824981689453,15.047510147094727,,32.19728088378906,12.424775123596191,,,,,,,,,,628.0941162109375,,,10.80107593536377,13.29483413696289,,,,,,,,,,,16.219104766845703,,,17.40152931213379,,,,36.786590576171875,5.289119720458984,26.015703201293945,,43.61773681640625,,,,,9.957022666931152,,14.532844543457031,17.416522979736328,21.45734405517578,8.307658195495605,13.705862998962402,,7.9146881103515625,22.822261810302734,12.802938461303711,,,,,,
2006-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.44222068786621,,,,8.04224967956543,,,,,,,7.84010648727417,36.81611251831055,14.988344192504883,,32.240047454833984,12.422460556030273,,,,,,,,,,615.3777465820312,,,10.86103343963623,13.303445816040039,,,,,,,,,,,16.541784286499023,,,17.765777587890625,,,,36.96121597290039,5.337846755981445,26.215469360351562,,43.590057373046875,,,,,9.941022872924805,,14.348600387573242,17.47607421875,21.423511505126953,8.346193313598633,13.635940551757812,,7.862828731536865,22.765962600708008,12.814560890197754,,,,,,
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,25.640052795410156,,,,8.213027000427246,,,,,,,7.9722981452941895,37.3586311340332,14.909461975097656,,32.356109619140625,12.464180946350098,,,,,,,,,,635.8141479492188,,,10.853545188903809,13.458438873291016,,,,,,,,,,,16.834753036499023,,,18.17110252380371,,,,37.09703826904297,5.422591209411621,26.461978912353516,,44.019100189208984,,,,,10.046639442443848,,14.700577735900879,17.578937530517578,21.50471305847168,8.477204322814941,13.694211959838867,,7.946789264678955,22.913745880126953,12.919224739074707,,,,,,
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,26.115524291992188,,,,8.193618774414062,,,,,,,8.001832008361816,37.3238639831543,15.019895553588867,,32.441619873046875,12.485044479370117,,,,,,,,,,634.5424194335938,,,10.935989379882812,13.518712043762207,,,,,,,,,,,16.923913955688477,,,18.368295669555664,,,,37.29106521606445,5.445895195007324,26.687246322631836,,44.18171691894531,,,,,10.043436050415039,,14.684083938598633,17.627666473388672,21.680644989013672,8.50417709350586,13.758316040039062,,7.897405624389648,23.01930809020996,13.051006317138672,,,,,,
2006-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,25.994264602661133,,,,8.193618774414062,,,,,,,7.958233833312988,37.22648239135742,14.933124542236328,,32.40496826171875,12.531404495239258,,,,,,,,,,647.0770874023438,,,10.928497314453125,13.49288272857666,,,,,,,,,,,16.8984317779541,,,18.390199661254883,,,,37.32341003417969,5.456490516662598,26.84873390197754,,44.2440185546875,,,,,9.979426383972168,,14.843563079833984,17.643909454345703,21.6197452545166,8.49647045135498,13.723343849182129,,7.9097490310668945,22.93486213684082,13.054885864257812,,,,,,
2006-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,25.987876892089844,,,,8.22467041015625,,,,,,,8.028549194335938,36.89956283569336,14.840432167053223,,32.47827911376953,12.554587364196777,,,,,,,,,,653.9803466796875,,,10.876028060913086,13.49288272857666,,,,,,,,,,,17.06827163696289,,,18.609289169311523,,,,37.478607177734375,5.507335662841797,26.891250610351562,,44.368568420410156,,,,,9.902610778808594,,14.906816482543945,17.74135971069336,21.633275985717773,8.577388763427734,13.735000610351562,,7.897405624389648,22.87854766845703,13.120784759521484,,,,,,
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,25.793222427368164,,,,8.203327178955078,,,,,,,7.98917293548584,36.56570816040039,14.66688060760498,,32.15452194213867,12.510541915893555,,,,,,,,,,640.2195434570312,,,10.913507461547852,13.561763763427734,,,,,,,,,,,17.000337600708008,,,18.412097930908203,,,,37.23283386230469,5.470259189605713,26.814743041992188,,44.11598205566406,,,,,9.764988899230957,,14.79957389831543,17.616825103759766,21.470870971679688,8.531145095825195,13.700041770935059,,7.897405624389648,22.857439041137695,13.00449275970459,,,,,,
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,25.82832145690918,,,,8.16257095336914,,,,,,,7.956828594207764,36.6213264465332,14.649142265319824,,32.29502487182617,12.49895191192627,,,,,,,,,,646.8046875,,,10.913507461547852,13.596212387084961,,,,,,,,,,,16.75832748413086,,,18.266956329345703,,,,37.21991729736328,5.453312397003174,26.48324203491211,,44.164405822753906,,,,,9.78739070892334,,14.975566864013672,17.60600471496582,21.39643669128418,8.527295112609863,13.682558059692383,,7.951728820800781,22.843368530273438,13.008371353149414,,,,,,
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,25.831518173217773,,,,8.127639770507812,,,,,,,7.8415117263793945,36.63526153564453,14.420367240905762,,32.0140266418457,12.359871864318848,,,,,,,,,,657.9312744140625,,,10.86103343963623,13.43260669708252,,,,,,,,,,,16.48658561706543,,,17.98213005065918,,,,36.86419677734375,5.4109392166137695,26.376977920532227,,44.008705139160156,,,,,9.796993255615234,,15.305540084838867,17.421937942504883,21.28817367553711,8.442522048950195,13.630112648010254,,8.035693168640137,22.780025482177734,12.938599586486816,,,,,,
