Ticker,Win_Prob,Price,RS_Rating,Bias,Vol_Dry_Up,Vol_Z,Up_Shadow,Dn_Shadow,Turtle,Ov_Supply,POC_Dist,MA20_DP,ATR_Pct,Dist_52W_High,MA50_DP,VCP_Ratio,Resonance_Score
ENS,0.5938002677767329,199.0,56.91936169156266,9.608357115427246,0.5764760995297369,-0.43310508151017585,1.87939974529913,1.502515323190471,0,0.0,25.11182361160904,-0.46861625195604845,3.145369333238458,-1.84472989632612,4.404682507941934,0.7965203073935904,70.68129770992367
ANIK,0.6924038690722493,16.0,68.64901786351021,8.064297602625293,0.8952547685270095,-1.137598660277497,0.12500286101513655,0.4375040530885007,1,0.0,55.339802943295545,-4.01974388234652,3.4687497786113193,-0.12484679894457001,3.9362706021691327,0.8607783565489419,70.5820610687023
ITRN,0.5588208791266716,55.970001220703125,47.74723207074651,8.539509107596908,1.2290024608580794,1.6814326795079595,1.0541363939779764,0.2501329043997785,1,0.0,34.11294254437975,1.1063640868350841,2.7042555698142454,-1.0431402727229624,-5.791948178882872,0.7481288852614549,67.14980916030534
NATR,0.597468286263069,27.34000015258789,76.61527359535047,8.787777085128948,0.6450541971681304,-0.4075609665074115,0.5852225549132348,0.32918855918908874,1,2.9538521451288373,38.22042064267632,1.5820194040695421,3.1116103513797,-2.84292556639644,-0.9266400565395713,0.7923994596203155,66.26622137404581
ODFL,0.5863599790002139,217.75999450683594,54.432811007774376,9.267898626956486,0.656314625314654,-0.7361391704213341,1.11131439657445,1.3133728336168964,1,0.0,4.567045410976766,-3.054393532987829,3.215204878368082,-1.746158142262994,6.751695161179075,0.9012808421858898,65.74141221374046
ARCB,0.5766648401350526,118.63999938964844,58.47030163642408,16.171926492086612,1.0481419560756864,-0.013973313256142634,0.9271733646079224,1.1041850933215192,1,0.0,49.36010133507652,-6.576288344876834,3.697259196407063,-0.9186558324173317,3.106159254575384,0.8780281208047719,64.68416030534351
ADI,0.5690664147362847,371.45001220703125,49.64553735569874,12.207326712379848,0.740518215570661,0.9765891141275324,0.2692152287344517,0.4980498163180907,1,0.0,35.77214387846973,-0.9599313757514178,2.8361834206206966,-0.2684924062887269,-5.167891214261136,0.8613129100067222,64.33301526717557
BFH,0.579495454268723,90.58000183105469,45.22045517937012,16.919663476044626,0.982089585528919,1.5027841939085167,0.7948787879670025,0.7617518194480114,1,0.0,26.558349011733114,-3.1955377275402728,3.160583650715385,-0.7886102920358847,0.6143880999107785,0.9007598982162743,63.64790076335879
MG,0.6015863498417658,17.850000381469727,76.6520451658742,13.354926633741702,0.9796591248361114,0.7634579165806071,1.7927153387542034,1.3445471894919379,1,0.0,39.45312589913645,-6.633730241748969,3.2212885228889543,-1.7611430570333615,0.6963748619725609,0.9246576477839363,63.42652671755725
JBHT,0.5578043423519138,245.0800018310547,69.97889685034266,12.667510323378007,1.3842657629944615,0.1438986934910793,1.171044187911429,0.20809307288377618,0,0.0,12.051938763310465,-2.987010898434331,2.972208068595637,-1.1574894746923576,-1.1485289560045258,0.9479424626857448,63.39694656488549
PKE,0.5897890132911783,34.5099983215332,59.14288944393129,16.621124844981946,0.8774429359988033,0.9666848474593638,0.34773327271846266,0.0,1,0.0,48.9611803206483,0.10862322763745659,3.6632095315650397,-0.3465282785944113,-0.6686154707804234,0.8660356715820922,62.739503816793885
KEYS,0.5663583121091555,334.3399963378906,95.45840508425611,10.319932903666263,0.6608239894559735,0.014995863950213038,1.0946951313595026,0.0,0,0.0,10.899556903938045,3.1494381309895965,3.385796094751919,-1.082841320147499,-7.409746262010919,0.8011622373608632,62.44083969465649
FCX,0.5813689723009349,70.20999908447266,61.75137208518806,14.062873471897195,0.8115986129351366,0.37785007201574583,0.7121492757624267,2.2503943193778078,1,0.0,8.03715630121269,-4.121601012038375,3.718856592208164,-0.7071135715835765,-5.8195929581144945,0.7407501058856678,61.76717557251907
SB,0.5976998230411299,6.639999866485596,48.23602653408461,3.831115120964771,0.49771144278606894,-0.5851841615099123,1.3554240118075704,0.3012045380369438,0,1.1993562808321816,24.59959716321064,1.1146523775731954,2.990533848652601,-1.337297954226572,-8.992807370269517,0.7767404561729508,61.147900763358784
AVNS,0.6043161306561785,24.6200008392334,110.12259841283051,53.913484034849944,5.751637026101075,0.330554701665608,0.12184719038616657,0.04061831251237737,0,33.48237500358273,-0.040594079876070895,-2.8974765392903383,4.186491764330295,-0.40452458290735593,-8.776980578579586,0.5652564632682645,61.06965648854962
ELA,0.6491905260453887,17.90999984741211,120.78428612803475,4.1975735107295655,0.5280568063733934,-0.257442262669513,0.5025134190376332,0.22334403051873955,0,0.0,17.5968508572016,-14.576502214598108,4.450824772730059,-2.077643789355172,1.319876356912018,0.8295152047468722,60.835877862595424
ASX,0.5925085036907873,28.59000015258789,132.27936056046093,21.07993711964887,0.9309800575047303,0.5723743283173971,0.41972343910500615,1.2591836600825772,1,0.0,36.85974623046861,2.146115623378139,3.63263851760785,-0.4179691247203328,-25.01316512375176,0.77862627997231,60.80248091603053
ESLT,0.5520683620846626,872.5800170898438,66.85170310957243,-2.703742903481691,0.6331414059592321,-0.3407997078891235,1.369503308919707,0.5248821884683301,0,30.30052156635483,-13.881662840637373,6.885623327107464,3.579204589879873,-14.028291033504683,2.2176824964485453,0.7110209719259251,60.29103053435115
NPK,0.6054119778307088,143.72000122070312,23.21065889433871,3.3570203472705735,0.6022904622689138,-0.1796023021300649,1.9273617095145419,0.6749243059125757,0,2.349560165633176,37.34295105721271,-2.0344063446282243,3.4784909227011087,-4.097156922861608,10.100787176914295,0.7213441431905054,59.9074427480916
SPHR,0.635212098624853,135.6699981689453,112.62493648489043,11.299339194313179,0.5514671249589299,-0.8413022602376987,1.1977592849706273,0.7370826369050014,0,0.0,26.28688241951546,4.030825241878893,4.219534274096789,-1.1835828119452367,-3.3805956452011023,0.8112137360499047,59.23091603053435
OOMA,0.5521264897200231,15.710000038146973,32.774148627043246,9.154073060185697,1.1071494683976228,1.318220445250536,0.12730429051253783,0.0,1,0.0,26.18474119328047,-4.744529789829321,3.1654086915901476,-0.12714243274059703,1.3043445088454781,1.0440050910903262,59.092557251908396
ROIV,0.5642594155087296,29.829999923706055,68.20528795480558,6.349601572741577,0.7413995055837813,-0.1317491688907913,1.1733167360146264,1.8102612031188765,1,0.0,15.530597506282543,1.6187009637566245,3.172262136036643,-1.648532809895303,-23.787527524409306,0.7822847033379193,58.90458015267176
PWR,0.5664588901457975,601.8800048828125,30.44644645800254,5.612109426395397,0.8424345908640192,0.3140771031503187,0.25088219468538314,0.5084065816714505,1,0.0,28.97659216314534,5.590448273743496,3.1533757578626553,-0.25025435107710525,-12.783869161945772,0.7163072261420121,58.770038167938935
LINC,0.5886645286864832,41.95000076293945,83.48674952484107,3.0117762472182887,0.7755429530078943,1.4118918749269131,2.073894913090499,0.5959475457623876,0,0.5852696815717409,18.33568366692942,-6.657961586919539,3.7510632664639583,-2.1003447916204325,-1.4301884548946981,0.8739794010332719,58.75667938931297
ARKO,0.6506648727681156,6.730000019073486,63.33850357052355,19.16249825181703,1.5048857304368874,0.4827608756030798,0.07429590528980967,0.14859181057961934,1,0.0,34.33133156227854,-6.165706513905093,4.1965597054423736,-0.0742407474543945,5.40539606875644,1.1128651512872305,58.704198473282446
KNX,0.5987144604409381,64.41999816894531,39.37600856624983,9.364386590590783,1.063616244594667,0.9253470070088872,1.5523129903883524,1.241849207989858,0,0.0,47.37812012916705,-4.009742238030744,3.3463429001979947,-2.3939421682284063,-0.16622044120536708,0.85883220385065,58.569656488549626
NVT,0.5967493356018213,134.69000244140625,26.373233340708445,8.549623713558523,0.8925484434979226,0.05641611528598341,0.4157677247301308,0.5234255091473088,0,0.0,42.06127353623357,3.3773856483707663,3.8846324351132075,-0.9020261937463939,3.3764695851736617,0.8377153604476898,58.146946564885496
GNK,0.5702416113873839,24.459999084472656,47.95435912131447,5.199772743833223,0.6942946729266538,0.10912796304077572,0.0817680233502159,0.2861802838978565,1,0.0,30.40319888259711,-0.5323821073883676,3.206693526247734,-0.08170121787930293,-9.599212736232065,0.8683105781202615,58.14408396946564
