Ticker,Win_Prob,Price,MA_Conv,Vol_Z,Breakout,MA20_Slope,MA20_DP,Ov_Supply,POC_Dist,ATR_Pct,Resonance_Score
CVBF,0.5837889109045973,20.68000030517578,2.0488504518355324,8.578415731228185,4.942435428667918,1.3530960943006072,12.341547740888824,4.226809665887159,7.381332880801837,2.4428243764497886,83.998114097124
ONB,0.6080120154764934,23.959999084472656,2.5539700853292646,1.9157058077552727,3.7147678147119856,1.53017553493569,12.80602326994865,17.38850499169461,20.756882606976614,2.277605438104533,81.6077322017916
ISTR,0.5747171119163267,28.700000762939453,4.752340204267525,2.16136465944338,2.2454488844866427,0.9171702970022464,8.664895095214217,21.45403915444462,8.664895095214217,2.05549450924504,81.004243281471
ARR,0.5435844835187916,17.639999389648438,2.16330570412121,1.3399500651669167,4.05255730823892,0.7531603648929736,15.512714411132617,11.643323953820675,-3.8848402278888465,2.345028509204031,80.76379066478077
MLI,0.5957278101889194,122.12999725341797,0.7333089443715072,3.1500430120136227,5.663026643389321,1.3151911825805802,13.335184513904858,16.74534361813637,5.983450297278373,2.692681215035566,78.63272041489864
TFC,0.5155732754333917,50.56999969482422,2.5829393049470717,1.325152038667241,4.036586487751725,1.856170992469127,14.515398255017429,16.330637332107166,8.776076293753786,2.402609481833737,78.48184818481847
FFBC,0.6132387792805116,29.760000228881836,6.952053836511897,6.544353517560737,4.5185608575223695,1.3818626511199223,11.46067182917524,9.194258991157263,14.172754843661586,2.1721392748671104,78.26496935407827
TCBX,0.5358118477177003,42.119998931884766,1.691961322689124,1.3510814700954856,5.84190778437049,1.8060825107400476,13.653527714394349,10.49592631951824,4.671961170362655,2.544939040724715,78.16124469589816
FELE,0.5533001184564164,101.68000030517578,1.5134918812190399,2.1452847661469985,4.413117697994977,1.3898358665023842,13.116031811603168,13.338768679532704,9.356847315600632,2.664521762345111,77.81235266383781
CIVB,0.5786861853124642,24.600000381469727,1.910826700294398,1.8212733857190617,5.456266562643567,1.2828342630709766,12.58581213667313,3.2045480506471478,12.58581213667313,2.76713250684145,77.3880245167374
EBC,0.5521144680646071,21.049999237060547,4.286215099973516,0.6905139041487299,4.973062778332055,1.5949730535429771,12.446581244901067,10.563256068256218,20.845204317723265,2.1462501136189567,77.21829325789723
